img_search_addr,score,img_url
"서울특별시 동작구 흑석로 24,이탈리안 돈까스",4.8,https://place.map.kakao.com/62274972
"서울특별시 동작구 서달로 159,미태리파스타 중앙대점",장소 없음,없음
"서울특별시 동작구 상도로62길 29,다원 맛칼국수",4.0,https://place.map.kakao.com/688054969
"서울특별시 동작구 동작대로27다길 26,항방양육관",4.1,https://place.map.kakao.com/19413982
"서울특별시 동작구 사당로17가길 13,택이네조개전골",4.1,https://place.map.kakao.com/1886644926
"서울특별시 동작구 상도로 177,제일 어버이 순대",4.7,https://place.map.kakao.com/451972040
"서울특별시 동작구 여의대방로22가길 11,마라도아구찜",4.9,https://place.map.kakao.com/902846846
"서울특별시 동작구 동작대로29가길 15,영주네",2.3,https://place.map.kakao.com/15384187
"서울특별시 동작구 성대로2길 7,한솔쌈밥시골보리밥",4.2,https://place.map.kakao.com/23487723
"서울특별시 동작구 사당로17가길 8,대복 삼겹살",0.0,https://place.map.kakao.com/1565379640
"서울특별시 동작구 보라매로 106,포마토김밥",3.9,https://place.map.kakao.com/16083086
"서울특별시 동작구 노량진로 162,꽁칼",4.3,https://place.map.kakao.com/1334970320
"서울특별시 동작구 상도로30길 8,신짱스시",,https://place.map.kakao.com/26831056
"서울특별시 동작구 상도로56길 2,원미명태촌",장소 없음,없음
"서울특별시 동작구 사당로9가길 55,은혜식당",4.0,https://place.map.kakao.com/15591006
"서울특별시 동작구 만양로18길 23,노들가",5.0,https://place.map.kakao.com/1017117375
"서울특별시 동작구 동작대로23길 17,군선생 이수점",3.7,https://place.map.kakao.com/27245538
"서울특별시 동작구 장승배기로 75,가락돈까스",4.2,https://place.map.kakao.com/521681834
"서울특별시 중구 을지로1길 10,신가원 설렁탕",장소 없음,없음
"서울특별시 중구 수표로10길 19,을지다락",,https://place.map.kakao.com/378913911
"서울특별시 중구 퇴계로88길 21,마작골",4.7,https://place.map.kakao.com/1706127926
"서울특별시 중구 을지로 238,푸드익스체인지",3.8,https://place.map.kakao.com/1983561343
"서울특별시 중구 서소문로11길 1,고려삼계탕",3.6,https://place.map.kakao.com/8178288
"서울특별시 중구 명동10길 23,황금목장(명동성당점)",3.7,https://place.map.kakao.com/27394073
"서울특별시 중구 마른내로 41,미소 로바다야끼",3.0,https://place.map.kakao.com/1437931579
"서울특별시 중구 남대문로9길 40,전설의 우대갈비(서울시청 직영점)",4.3,https://place.map.kakao.com/1116506145
"서울특별시 중구 퇴계로18길 26,남산등심",4.9,https://place.map.kakao.com/408883933
"서울특별시 중구 다동길 5,오징어 풍경",4.0,https://place.map.kakao.com/665470618
"서울특별시 중구 소공로 35,르뱅드서울",0.0,https://place.map.kakao.com/1852420845
"서울특별시 중구 다산로35길 19,치소우 다이닝",,https://place.map.kakao.com/1452112201
"서울특별시 중구 서애로1길 2,오이드킨(OIDKIN)",장소 없음,없음
"서울특별시 양천구 중앙로 251,사매생태찌개전문점",0.0,https://place.map.kakao.com/21324399
"서울특별시 도봉구 도봉로110바길 18,완니",4.2,https://place.map.kakao.com/804373656
"서울특별시 서대문구 통일로 442-11,달동네곰상",5.0,https://place.map.kakao.com/1586207242
"서울특별시 서대문구 통일로9안길 32,서대문 화우",3.2,https://place.map.kakao.com/1899748937
"서울특별시 서대문구 통일로 149-1,칠백식당",4.6,https://place.map.kakao.com/546299959
"서울특별시 서대문구 충정로11길 12,짬뽕주의",3.3,https://place.map.kakao.com/27049627
"서울특별시 서대문구 충정로6안길 3,형제옥",장소 없음,없음
"서울특별시 서대문구 경기대로 57,권가네 의정부부대찌개",4.6,https://place.map.kakao.com/16327212
"서울특별시 서대문구 신촌로35길 7,북성해장국",3.9,https://place.map.kakao.com/20616798
"서울특별시 서대문구 충정로 8,벨프레시푸드(주) 소반",장소 없음,없음
"서울특별시 서대문구 통일로9안길 28-5,한옥그레이스",4.2,https://place.map.kakao.com/72323246
"서울특별시 서대문구 세검정로 69,봉산식당",4.0,https://place.map.kakao.com/831401857
"서울특별시 서대문구 연세로12길 8,가문의우동",3.5,https://place.map.kakao.com/8111489
