img_search_addr,score,img_urls,url,name,addr,upso_nm
대한족발 . 보쌈,4.2,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7fd8a6ba8d67db12eae937c3aeaa6ce7de1f734f%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2dd8a369ce3e57c8b85d2ab8512560027b5becc1%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F14166d65c46e5ef76cf80f23cb15481da9c70c63%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd08981faaf8dc05bce0ea0dc360f0e82dbf52409%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F23394aec92185efb8a1a5fc6a2fb5a206156af17%3Foriginal,https://place.map.kakao.com/1622206451,대한족발보쌈 합정본점,서울특별시 마포구 양화로6길 53,대한족발 . 보쌈
댓잎갈비,0,없음,,댓잎갈비,서울특별시 용산구 보광로 1,댓잎갈비
돌판장 주식회사,장소 없음,없음,없음,없음,서울특별시 용산구 한강대로53길 24,돌판장 주식회사
라쿠치나(주)세부유통,4.2,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6a436ead3713a50af61442da7c092c8329ca14ed%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F631d561a7dc34ec973e5d51d226a24528a0d88b2%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F95b61ec89dcfa5b06f0a24e41c19ef50fd0a9eff%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F496c8870555b206f99127f4e9563e731bce41933%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F82dd849a801e1b3757d28f8cfd2aa2b0d2c8fd7d%3Foriginal,https://place.map.kakao.com/7849814,라쿠치나,서울특별시 용산구 회나무로44길 10,라쿠치나(주)세부유통
루트(루트에브리데이),3.6,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F94494af6acc1f6c510f732eb384aa365df357783%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8f5c9f7bc59d4c997221ea3453908e1ad757f72d%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9d5b02dd843f61c2559ecef003433d5bc725d977%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe9f89022967f43eda1f3199a0f732357b5720ffd%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4b51365491b71a8dd41f187ee648d0225a128925%3Foriginal,https://place.map.kakao.com/82608069,루트에브리데이 한남점,서울특별시 용산구 이태원로55가길 26-4,루트(루트에브리데이)
마포나루(1호점),4.1,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F608c1423a56de88ee6cc196a9f7a01d5ca309b42%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fda69c73513193f8e76df1f9482016bfda28843fc%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F838580192a894f769265a6df1c8dc354cefcbf84%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Flocal%2Freview_placeapp%2FbtqrBPsewsx_jApbgk8X5gMPUskTvRTQQ0_img.jpg; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAzMjhfMjQ4%2FMDAxNzQzMTUzOTMwMzM2.03-fuvWYl-vGbK509WDVhanmp2squZcv6INEzBq3Pk0g.r197-dcJq5cZLV4V8aDGyshokMNJMwbHUMhAaR_51vgg.JPEG%2FSE-e4b782ff-fc11-11ef-8b26-03d43b5bcad6.jpg%3Ftype%3Dw966,https://place.map.kakao.com/8348040,마포나루 아크로점,서울특별시 마포구 마포대로 68,마포나루(1호점)
마포옥하우스,,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F066325F5E55645E18A3FA674DED6E742; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMThfMTA1%2FMDAxNzM5ODM3NjU4NTI5.9bWl5rH4JntQJmQRfjXyDQsRlmNnPlRuCu8sn7svU9Eg.hq9BAl6oCVTmPUKrsCzghRdoTVOfKuU1abqvry9K8Hog.JPEG%2FIMG_2038.jpg%3Ftype%3Dw466; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMThfMjM4%2FMDAxNzM5ODM3NjU5MTU0.ogUtGKXgWmhsbs6gzalIw0W1EMfLpn_Htmb6O_R-Z8Ig.mseCiUFTRuLSe-wGJq5Ap1JXX_Vf1rk64anPzAKj0H0g.JPEG%2FIMG_2054.jpg%3Ftype%3Dw966; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAzMDVfMTQ5%2FMDAxNzQxMTc1NDQ4NTM0.CmO37glhzgZoP_DbRwrbMxkSJPCt6m3Ma_Rn7-LjK-Ug.dOO0olsAy5gu4JI1i_jxsBxOmDgtE-hnXHJW7d3LIAMg.JPEG%2FIMG_8732.jpeg%3Ftype%3Dw466; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAzMDVfMjQw%2FMDAxNzQxMTc1NDQ3MjMy.KjB6zs1lXpCwmFRN29SCKWdE1pT4NvWJ6rwl8nTd2lAg.vPQjlts4D-2Mpn370mauNd7-07WybIgoaHjrcoKbaccg.JPEG%2FIMG_8733.jpeg%3Ftype%3Dw466,https://place.map.kakao.com/10344284,마포옥,서울특별시 마포구 토정로 312,마포옥하우스
마포진짜원조최대포집,,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F59879E24B59A4173A3FF8B70A9E23261; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3B6F6D4A4B0041729DA17888E66C0ACB; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F17B650950E0245BEAA9769C286E2B526; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F15F91434984C4011B19F482C53964CC0; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTA0MDJfMTk5%2FMDAxNzQzNTM0NDcxMzMx.xkb0DacVbhkXYF-kfc9xMlTwXbzQeF7PgTo0l6zfUyQg.i3qaa2zaM1tcPixLZ8WPRlcxa5Fg8hy_0Ugd-vfgLeAg.JPEG%2FSE-07ab0603-a9f8-4d49-bcf8-dfac9c047b19.jpg%3Ftype%3Dw386,https://place.map.kakao.com/14615423,마포진짜원조최대포 본점,서울특별시 마포구 만리재로1길 3,마포진짜원조최대포집
바다애(愛),,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F66634AA89F0E4156AA9EC96C960AEDA5; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2B61E76221024C228ACFDCB175BFF8CF; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC9CC99FDB9BB45CE96DA146BE0CC2708; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFD5F98530C234B5998238A39C1F3F686; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F54004FCC90164E8A840DAEF41EA0CAD5,https://place.map.kakao.com/1409310513,바다애,서울특별시 마포구 동교로18길 4,바다애(愛)
보스라멘,장소 없음,없음,없음,없음,서울특별시 용산구 청파로 74,보스라멘
